"Notes"	"HHS Region of Residence"	"HHS Region of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births	Female Population	Fertility Rate
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"American Indian or Alaska Native"	"1002-5"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"American Indian or Alaska Native"	"1002-5"	"15-19 years"	"15-19"	171	15127	11.30
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	612	15712	38.95
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"American Indian or Alaska Native"	"1002-5"	"25-29 years"	"25-29"	774	15996	48.39
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"American Indian or Alaska Native"	"1002-5"	"30-34 years"	"30-34"	733	15395	47.61
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"American Indian or Alaska Native"	"1002-5"	"35-39 years"	"35-39"	438	14874	29.45
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	119	13697	8.69
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"American Indian or Alaska Native"	"1002-5"	"50 years and over"	"50+"	0	Not Available	Not Available
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Asian"	"A"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	"Asian"	"A"	"15-19 years"	"15-19"	248	145029	1.71
