"Notes"	"State of Residence"	"State of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"15-19 years"	"15-19"	78	5873	13.28
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	287	6018	47.69
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"25-29 years"	"25-29"	256	5935	43.13
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"30-34 years"	"30-34"	181	5927	30.54
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"35-39 years"	"35-39"	107	5932	18.04
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	22	5601	3.93
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	Suppressed	Not Available	Suppressed
	"Alabama"	"01"	"American Indian or Alaska Native"	"1002-5"	"50 years and over"	"50+"	0	Not Available	Not Available
	"Alabama"	"01"	"Asian"	"A"	"Under 15 years"	"15"	0	Not Available	Not Available
	"Alabama"	"01"	"Asian"	"A"	"15-19 years"	"15-19"	49	13266	3.69
	"Alabama"	"01"	"Asian"	"A"	"20-24 years"	"20-24"	329	15223	21.61
	"Alabama"	"01"	"Asian"	"A"	"25-29 years"	"25-29"	1214	14319	84.78
	"Alabama"	"01"	"Asian"	"A"	"30-34 years"	"30-34"	1734	14873	116.59
	"Alabama"	"01"	"Asian"	"A"	"35-39 years"	"35-39"	936	17148	54.58
	"Alabama"	"01"	"Asian"	"A"	"40-44 years"	"40-44"	204	16282	12.53
	"Alabama"	"01"	"Asian"	"A"	"45-49 years"	"45-49"	23	Not Available	Not Available
