"Notes"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"County"	"County Code"	Deaths
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Autauga County, AL"	"01001"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Baldwin County, AL"	"01003"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Barbour County, AL"	"01005"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Bibb County, AL"	"01007"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Blount County, AL"	"01009"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Bullock County, AL"	"01011"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Butler County, AL"	"01013"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Calhoun County, AL"	"01015"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Chambers County, AL"	"01017"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Cherokee County, AL"	"01019"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Chilton County, AL"	"01021"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Choctaw County, AL"	"01023"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Clarke County, AL"	"01025"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Clay County, AL"	"01027"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Cleburne County, AL"	"01029"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Coffee County, AL"	"01031"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Colbert County, AL"	"01033"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Conecuh County, AL"	"01035"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Coosa County, AL"	"01037"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Covington County, AL"	"01039"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Crenshaw County, AL"	"01041"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Cullman County, AL"	"01043"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Dale County, AL"	"01045"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Dallas County, AL"	"01047"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"DeKalb County, AL"	"01049"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Elmore County, AL"	"01051"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Escambia County, AL"	"01053"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Etowah County, AL"	"01055"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Fayette County, AL"	"01057"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Franklin County, AL"	"01059"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Geneva County, AL"	"01061"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Greene County, AL"	"01063"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Hale County, AL"	"01065"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Henry County, AL"	"01067"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Houston County, AL"	"01069"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Jackson County, AL"	"01071"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Jefferson County, AL"	"01073"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Lamar County, AL"	"01075"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Lauderdale County, AL"	"01077"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Lawrence County, AL"	"01079"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Lee County, AL"	"01081"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Limestone County, AL"	"01083"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Lowndes County, AL"	"01085"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Macon County, AL"	"01087"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Madison County, AL"	"01089"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Marengo County, AL"	"01091"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Marion County, AL"	"01093"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Marshall County, AL"	"01095"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Mobile County, AL"	"01097"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Monroe County, AL"	"01099"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Montgomery County, AL"	"01101"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Morgan County, AL"	"01103"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Perry County, AL"	"01105"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Pickens County, AL"	"01107"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Pike County, AL"	"01109"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Randolph County, AL"	"01111"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Russell County, AL"	"01113"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"St. Clair County, AL"	"01115"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Shelby County, AL"	"01117"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Sumter County, AL"	"01119"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Talladega County, AL"	"01121"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Tallapoosa County, AL"	"01123"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Tuscaloosa County, AL"	"01125"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Walker County, AL"	"01127"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Washington County, AL"	"01129"	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Wilcox County, AL"	"01131"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Winston County, AL"	"01133"	0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Aleutians East Borough, AK"	"02013"	Suppressed
