"Notes"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Alabama"	"01"	30	1425	2105.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Alaska"	"02"	426	2741	15541.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Arizona"	"04"	1209	9495	12733.0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Arkansas"	"05"	30	1074	2793.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"California"	"06"	1013	16669	6077.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Colorado"	"08"	146	1210	12066.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Connecticut"	"09"	23	740	3108.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Delaware"	"10"	16	322	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"District of Columbia"	"11"	Suppressed	188	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Florida"	"12"	128	3944	3245.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Georgia"	"13"	26	1433	1814.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Hawaii"	"15"	10	118	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Idaho"	"16"	71	735	9659.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Illinois"	"17"	27	2451	1101.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Indiana"	"18"	23	887	2593.0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Iowa"	"19"	20	317	6309.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Kansas"	"20"	95	406	23399.0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Kentucky"	"21"	Suppressed	577	Suppressed
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Louisiana"	"22"	63	1571	4010.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"Maine"	"23"	22	302	7284.8
