"Notes"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"HHS Region"	"HHS Region Code"	Deaths	Population	Crude Rate
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	60	16777	357.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	45	12777	352.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	136	35463	383.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	15	4731	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	110	15031	731.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	98	40865	239.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	85	14117	602.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	10	54207	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	36	148448	24.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	37	70877	52.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	30	156443	19.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	24	66066	36.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	12	82380	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	24	192264	12.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	20	88223	22.7
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	16	192473	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	17	87727	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	12	82545	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	17	70690	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	38	196165	19.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	30	79572	37.7
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	27	215388	12.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	14	72143	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	21	81701	25.7
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	31	69787	44.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	90	193313	46.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	95	74505	127.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	76	212028	35.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	73	67458	108.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	56	81303	68.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	66	68329	96.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	135	192014	70.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	10	23644	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	112	68617	163.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	124	214636	57.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	107	66729	160.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	10	15996	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"HHS Region #2  NJ, NY"	"HHS2"	10	49628	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	67	82332	81.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	125	67596	184.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	274	190997	143.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	28	22226	126.0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	184	69532	264.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	262	224960	116.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	170	70434	241.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"30-34 years"	"30-34"	"HHS Region #2  NJ, NY"	"HHS2"	13	47010	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"30-34 years"	"30-34"	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	11	26806	Unreliable
