"Notes"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	561	161434	347.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	151	660211	22.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	101	828941	12.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	140	828381	16.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	403	808998	49.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	626	803864	77.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	1136	821773	138.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"30-34 years"	"30-34"	1751	767678	228.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"35-39 years"	"35-39"	1938	719606	269.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"40-44 years"	"40-44"	1997	662912	301.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"45-49 years"	"45-49"	2389	624565	382.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"50-54 years"	"50-54"	3178	603180	526.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"55-59 years"	"55-59"	4264	603691	706.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"60-64 years "	"60-64"	5128	542470	945.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"65-69 years"	"65-69"	5397	421206	1281.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	5670	305080	1858.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"75-79 years"	"75-79"	5339	194327	2747.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"80-84 years"	"80-84"	5113	122404	4177.2
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"< 1 year"	"1"	698	167923	415.7
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"1-4 years"	"1-4"	198	686680	28.8
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"5-9 years"	"5-9"	107	857984	12.5
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"10-14 years"	"10-14"	169	860620	19.6
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"15-19 years"	"15-19"	777	840419	92.5
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"20-24 years"	"20-24"	1459	835511	174.6
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"25-29 years"	"25-29"	2275	871664	261.0
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"30-34 years"	"30-34"	2912	844058	345.0
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"35-39 years"	"35-39"	3168	780035	406.1
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"40-44 years"	"40-44"	3255	706304	460.8
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"45-49 years"	"45-49"	3800	650686	584.0
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"50-54 years"	"50-54"	4592	616819	744.5
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"55-59 years"	"55-59"	6153	588437	1045.7
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"60-64 years "	"60-64"	6819	504236	1352.3
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"65-69 years"	"65-69"	6631	376707	1760.3
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"70-74 years"	"70-74"	6448	268541	2401.1
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"75-79 years"	"75-79"	5464	161792	3377.2
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"80-84 years"	"80-84"	4561	92350	4938.8
	"Asian"	"A"	"Female"	"F"	"< 1 year"	"1"	1461	497552	293.6
	"Asian"	"A"	"Female"	"F"	"1-4 years"	"1-4"	289	2169928	13.3
	"Asian"	"A"	"Female"	"F"	"5-9 years"	"5-9"	207	2835751	7.3
	"Asian"	"A"	"Female"	"F"	"10-14 years"	"10-14"	234	2795693	8.4
	"Asian"	"A"	"Female"	"F"	"15-19 years"	"15-19"	483	2919119	16.5
	"Asian"	"A"	"Female"	"F"	"20-24 years"	"20-24"	799	3253122	24.6
	"Asian"	"A"	"Female"	"F"	"25-29 years"	"25-29"	978	3967344	24.7
	"Asian"	"A"	"Female"	"F"	"30-34 years"	"30-34"	1362	4441167	30.7
	"Asian"	"A"	"Female"	"F"	"35-39 years"	"35-39"	1802	4399644	41.0
	"Asian"	"A"	"Female"	"F"	"40-44 years"	"40-44"	2490	4065171	61.3
	"Asian"	"A"	"Female"	"F"	"45-49 years"	"45-49"	3791	3890188	97.5
	"Asian"	"A"	"Female"	"F"	"50-54 years"	"50-54"	5248	3436498	152.7
	"Asian"	"A"	"Female"	"F"	"55-59 years"	"55-59"	7118	3121267	228.0
	"Asian"	"A"	"Female"	"F"	"60-64 years "	"60-64"	10333	2852994	362.2
	"Asian"	"A"	"Female"	"F"	"65-69 years"	"65-69"	14195	2486500	570.9
	"Asian"	"A"	"Female"	"F"	"70-74 years"	"70-74"	18457	1948222	947.4
	"Asian"	"A"	"Female"	"F"	"75-79 years"	"75-79"	21662	1272031	1702.9
	"Asian"	"A"	"Female"	"F"	"80-84 years"	"80-84"	27358	852157	3210.4
	"Asian"	"A"	"Male"	"M"	"< 1 year"	"1"	1831	526414	347.8
	"Asian"	"A"	"Male"	"M"	"1-4 years"	"1-4"	352	2302945	15.3
	"Asian"	"A"	"Male"	"M"	"5-9 years"	"5-9"	242	2994425	8.1
	"Asian"	"A"	"Male"	"M"	"10-14 years"	"10-14"	310	2903697	10.7
	"Asian"	"A"	"Male"	"M"	"15-19 years"	"15-19"	977	2950999	33.1
	"Asian"	"A"	"Male"	"M"	"20-24 years"	"20-24"	1900	3307451	57.4
	"Asian"	"A"	"Male"	"M"	"25-29 years"	"25-29"	2319	3932276	59.0
	"Asian"	"A"	"Male"	"M"	"30-34 years"	"30-34"	2833	4203944	67.4
	"Asian"	"A"	"Male"	"M"	"35-39 years"	"35-39"	3535	4020851	87.9
	"Asian"	"A"	"Male"	"M"	"40-44 years"	"40-44"	4212	3593737	117.2
	"Asian"	"A"	"Male"	"M"	"45-49 years"	"45-49"	6172	3445288	179.1
	"Asian"	"A"	"Male"	"M"	"50-54 years"	"50-54"	8651	3027327	285.8
	"Asian"	"A"	"Male"	"M"	"55-59 years"	"55-59"	11917	2697633	441.8
	"Asian"	"A"	"Male"	"M"	"60-64 years "	"60-64"	16531	2371734	697.0
	"Asian"	"A"	"Male"	"M"	"65-69 years"	"65-69"	20488	1975726	1037.0
	"Asian"	"A"	"Male"	"M"	"70-74 years"	"70-74"	23619	1522050	1551.8
	"Asian"	"A"	"Male"	"M"	"75-79 years"	"75-79"	25823	1001239	2579.1
	"Asian"	"A"	"Male"	"M"	"80-84 years"	"80-84"	28817	647613	4449.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"1"	13835	1444673	957.7
	"Black or African American"	"2054-5"	"Female"	"F"	"1-4 years"	"1-4"	2279	5942781	38.3
	"Black or African American"	"2054-5"	"Female"	"F"	"5-9 years"	"5-9"	1375	7603733	18.1
	"Black or African American"	"2054-5"	"Female"	"F"	"10-14 years"	"10-14"	1506	7825127	19.2
	"Black or African American"	"2054-5"	"Female"	"F"	"15-19 years"	"15-19"	3547	7814960	45.4
	"Black or African American"	"2054-5"	"Female"	"F"	"20-24 years"	"20-24"	6830	8220731	83.1
	"Black or African American"	"2054-5"	"Female"	"F"	"25-29 years"	"25-29"	10135	8976089	112.9
	"Black or African American"	"2054-5"	"Female"	"F"	"30-34 years"	"30-34"	13501	8600980	157.0
	"Black or African American"	"2054-5"	"Female"	"F"	"35-39 years"	"35-39"	16906	7885331	214.4
	"Black or African American"	"2054-5"	"Female"	"F"	"40-44 years"	"40-44"	22167	7403338	299.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45-49 years"	"45-49"	29358	7148320	410.7
	"Black or African American"	"2054-5"	"Female"	"F"	"50-54 years"	"50-54"	42764	7167424	596.6
	"Black or African American"	"2054-5"	"Female"	"F"	"55-59 years"	"55-59"	65361	7289291	896.7
	"Black or African American"	"2054-5"	"Female"	"F"	"60-64 years "	"60-64"	89324	6747912	1323.7
	"Black or African American"	"2054-5"	"Female"	"F"	"65-69 years"	"65-69"	100485	5479713	1833.8
	"Black or African American"	"2054-5"	"Female"	"F"	"70-74 years"	"70-74"	104246	4071225	2560.6
	"Black or African American"	"2054-5"	"Female"	"F"	"75-79 years"	"75-79"	100986	2656492	3801.5
	"Black or African American"	"2054-5"	"Female"	"F"	"80-84 years"	"80-84"	103905	1760826	5900.9
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"1"	17268	1495485	1154.7
	"Black or African American"	"2054-5"	"Male"	"M"	"1-4 years"	"1-4"	2904	6100577	47.6
	"Black or African American"	"2054-5"	"Male"	"M"	"5-9 years"	"5-9"	1812	7811109	23.2
	"Black or African American"	"2054-5"	"Male"	"M"	"10-14 years"	"10-14"	2447	8058028	30.4
	"Black or African American"	"2054-5"	"Male"	"M"	"15-19 years"	"15-19"	12327	8035207	153.4
	"Black or African American"	"2054-5"	"Male"	"M"	"20-24 years"	"20-24"	21621	8426917	256.6
	"Black or African American"	"2054-5"	"Male"	"M"	"25-29 years"	"25-29"	27168	9141327	297.2
	"Black or African American"	"2054-5"	"Male"	"M"	"30-34 years"	"30-34"	29605	8365525	353.9
	"Black or African American"	"2054-5"	"Male"	"M"	"35-39 years"	"35-39"	31152	7336074	424.6
	"Black or African American"	"2054-5"	"Male"	"M"	"40-44 years"	"40-44"	35575	6687020	532.0
	"Black or African American"	"2054-5"	"Male"	"M"	"45-49 years"	"45-49"	44450	6341620	700.9
	"Black or African American"	"2054-5"	"Male"	"M"	"50-54 years"	"50-54"	63320	6359197	995.7
	"Black or African American"	"2054-5"	"Male"	"M"	"55-59 years"	"55-59"	95055	6337040	1500.0
	"Black or African American"	"2054-5"	"Male"	"M"	"60-64 years "	"60-64"	126524	5661687	2234.7
	"Black or African American"	"2054-5"	"Male"	"M"	"65-69 years"	"65-69"	134638	4275165	3149.3
	"Black or African American"	"2054-5"	"Male"	"M"	"70-74 years"	"70-74"	123501	2971611	4156.0
	"Black or African American"	"2054-5"	"Male"	"M"	"75-79 years"	"75-79"	102248	1772912	5767.2
	"Black or African American"	"2054-5"	"Male"	"M"	"80-84 years"	"80-84"	86371	1037025	8328.7
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"< 1 year"	"1"	182	31245	582.5
	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	"Female"	"F"	"1-4 years"	"1-4"	38	129964	29.2
