"Notes"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"Alaska"	"02"	43	4419	973.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"Arizona"	"04"	73	13698	532.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"California"	"06"	20	25245	79.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"Michigan"	"26"	10	2158	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"Minnesota"	"27"	18	3062	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"Montana"	"30"	21	2691	780.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"New Mexico"	"35"	35	7206	485.7
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"North Carolina"	"37"	37	6466	572.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"North Dakota"	"38"	13	1961	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"Oklahoma"	"40"	90	13004	692.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"South Dakota"	"46"	56	3745	1495.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"Washington"	"53"	28	5795	483.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"< 1 year"	"1"	"Wisconsin"	"55"	10	2586	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	"Alaska"	"02"	14	19712	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	"Arizona"	"04"	25	62035	40.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	"New Mexico"	"35"	12	36305	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	"Oklahoma"	"40"	22	62916	35.0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"1-4 years"	"1-4"	"South Dakota"	"46"	20	18375	108.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	"Arizona"	"04"	13	83416	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	"New Mexico"	"35"	11	51369	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"5-9 years"	"5-9"	"Oklahoma"	"40"	11	84693	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"Alaska"	"02"	11	23736	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"Arizona"	"04"	21	82226	25.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"New Mexico"	"35"	12	47008	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"Oklahoma"	"40"	23	78710	29.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"10-14 years"	"10-14"	"South Dakota"	"46"	11	20649	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"Alaska"	"02"	35	21884	159.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"Arizona"	"04"	58	77197	75.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"California"	"06"	14	125281	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"Minnesota"	"27"	22	15963	137.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"Montana"	"30"	28	15497	180.7
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"New Mexico"	"35"	35	44457	78.7
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"North Carolina"	"37"	11	30640	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"North Dakota"	"38"	10	9272	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"Oklahoma"	"40"	50	76953	65.0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"South Dakota"	"46"	40	18659	214.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"15-19 years"	"15-19"	"Washington"	"53"	26	26116	99.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"Alaska"	"02"	54	20538	262.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"Arizona"	"04"	85	76063	111.7
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"California"	"06"	33	128303	25.7
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"Michigan"	"26"	13	14902	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"Minnesota"	"27"	37	14403	256.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"Montana"	"30"	33	12961	254.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"New Mexico"	"35"	58	42455	136.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"North Carolina"	"37"	33	30813	107.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"North Dakota"	"38"	17	8857	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"Oklahoma"	"40"	65	76879	84.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"Oregon"	"41"	10	14476	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"South Dakota"	"46"	40	14826	269.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"Washington"	"53"	36	26392	136.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"20-24 years"	"20-24"	"Wisconsin"	"55"	15	12040	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"Alaska"	"02"	96	21652	443.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"Arizona"	"04"	204	78679	259.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"California"	"06"	51	134156	38.0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"Colorado"	"08"	20	19449	102.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"Florida"	"12"	10	19791	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"Michigan"	"26"	12	13943	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"Minnesota"	"27"	70	14271	490.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"Montana"	"30"	47	13328	352.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"Nebraska"	"31"	10	5128	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"New Mexico"	"35"	153	45867	333.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"North Carolina"	"37"	44	29700	148.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"North Dakota"	"38"	28	8591	325.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"25-29 years"	"25-29"	"Oklahoma"	"40"	105	70875	148.1
