"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births	Female Population	Fertility Rate
	"Baldwin County, AL"	"01003"	"American Indian or Alaska Native"	"1002-5"	"Under 15 years"	"15"	0	Not Available	Not Available
	"Baldwin County, AL"	"01003"	"American Indian or Alaska Native"	"1002-5"	"15-19 years"	"15-19"	Suppressed	233	Suppressed
	"Baldwin County, AL"	"01003"	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	20	251	79.68
	"Baldwin County, AL"	"01003"	"American Indian or Alaska Native"	"1002-5"	"25-29 years"	"25-29"	15	258	58.14
	"Baldwin County, AL"	"01003"	"American Indian or Alaska Native"	"1002-5"	"30-34 years"	"30-34"	15	272	55.15
	"Baldwin County, AL"	"01003"	"American Indian or Alaska Native"	"1002-5"	"35-39 years"	"35-39"	Suppressed	286	Suppressed
	"Baldwin County, AL"	"01003"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	Suppressed	276	Suppressed
	"Baldwin County, AL"	"01003"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	0	Not Available	Not Available
	"Baldwin County, AL"	"01003"	"American Indian or Alaska Native"	"1002-5"	"50 years and over"	"50+"	0	Not Available	Not Available
	"Baldwin County, AL"	"01003"	"Asian"	"A"	"Under 15 years"	"15"	0	Not Available	Not Available
	"Baldwin County, AL"	"01003"	"Asian"	"A"	"15-19 years"	"15-19"	Suppressed	990	Suppressed
	"Baldwin County, AL"	"01003"	"Asian"	"A"	"20-24 years"	"20-24"	17	613	27.73
	"Baldwin County, AL"	"01003"	"Asian"	"A"	"25-29 years"	"25-29"	45	438	102.74
	"Baldwin County, AL"	"01003"	"Asian"	"A"	"30-34 years"	"30-34"	63	470	134.04
	"Baldwin County, AL"	"01003"	"Asian"	"A"	"35-39 years"	"35-39"	30	734	40.87
	"Baldwin County, AL"	"01003"	"Asian"	"A"	"40-44 years"	"40-44"	Suppressed	834	Suppressed
	"Baldwin County, AL"	"01003"	"Asian"	"A"	"45-49 years"	"45-49"	0	Not Available	Not Available
	"Baldwin County, AL"	"01003"	"Asian"	"A"	"50 years and over"	"50+"	0	Not Available	Not Available
	"Baldwin County, AL"	"01003"	"Black or African American"	"2054-5"	"Under 15 years"	"15"	Suppressed	Not Available	Suppressed
	"Baldwin County, AL"	"01003"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	112	3895	28.75
	"Baldwin County, AL"	"01003"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	385	3568	107.90
	"Baldwin County, AL"	"01003"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	384	3471	110.63
	"Baldwin County, AL"	"01003"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	302	3599	83.91
	"Baldwin County, AL"	"01003"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	137	3430	39.94
