"Notes"	"County"	"County Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	10	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"< 1 year"	"1"	"White"	"2106-3"	"Female"	"F"	21	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	26	Not Applicable	Not Applicable
	"Baldwin County, AL"	"01003"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	20	28857	69.3
	"Blount County, AL"	"01009"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	14	Not Applicable	Not Applicable
	"Blount County, AL"	"01009"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	11	8746	Unreliable
	"Calhoun County, AL"	"01015"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Male"	"M"	10	Not Applicable	Not Applicable
	"Calhoun County, AL"	"01015"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	11	Not Applicable	Not Applicable
	"Coffee County, AL"	"01031"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	10	6412	Unreliable
	"Cullman County, AL"	"01043"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	11	12686	Unreliable
	"Dallas County, AL"	"01047"	"15-19 years"	"15-19"	"Black or African American"	"2054-5"	"Male"	"M"	10	5132	Unreliable
	"DeKalb County, AL"	"01049"	"< 1 year"	"1"	"White"	"2106-3"	"Female"	"F"	14	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	15	Not Applicable	Not Applicable
	"DeKalb County, AL"	"01049"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	13	11482	Unreliable
	"Elmore County, AL"	"01051"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Male"	"M"	11	Not Applicable	Not Applicable
	"Elmore County, AL"	"01051"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	12	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	11	Not Applicable	Not Applicable
	"Etowah County, AL"	"01055"	"15-19 years"	"15-19"	"White"	"2106-3"	"Male"	"M"	17	12135	Unreliable
	"Houston County, AL"	"01069"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Male"	"M"	24	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"< 1 year"	"1"	"White"	"2106-3"	"Female"	"F"	10	Not Applicable	Not Applicable
	"Houston County, AL"	"01069"	"< 1 year"	"1"	"White"	"2106-3"	"Male"	"M"	10	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Female"	"F"	103	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"< 1 year"	"1"	"Black or African American"	"2054-5"	"Male"	"M"	133	Not Applicable	Not Applicable
	"Jefferson County, AL"	"01073"	"< 1 year"	"1"	"White"	"2106-3"	"Female"	"F"	49	Not Applicable	Not Applicable
