"Notes"	"Single Race 6"	"Single Race 6 Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Sex"	"Sex Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Anchorage Borough, AK"	"02020"	16	5318	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Apache County, AZ"	"04001"	14	9262	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Maricopa County, AZ"	"04013"	19	26906	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Navajo County, AZ"	"04017"	14	8177	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Pima County, AZ"	"04019"	11	11549	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Beltrami County, MN"	"27007"	12	2084	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Big Horn County, MT"	"30003"	11	1516	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Bernalillo County, NM"	"35001"	13	8977	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"McKinley County, NM"	"35031"	18	10017	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"San Juan County, NM"	"35045"	14	8520	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Robeson County, NC"	"37155"	13	9186	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Oklahoma County, OK"	"40109"	10	7084	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Tulsa County, OK"	"40143"	12	9494	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Pennington County, SD"	"46103"	10	2175	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Female"	"F"	"Yakima County, WA"	"53077"	10	3019	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Male"	"M"	"Anchorage Borough, AK"	"02020"	25	5215	479.4
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Male"	"M"	"Bethel Census Area, AK"	"02050"	19	3172	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Male"	"M"	"Nome Census Area, AK"	"02180"	10	1538	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Male"	"M"	"Wade Hampton Census Area, AK"	"02270"	12	1502	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Male"	"M"	"Apache County, AZ"	"04001"	42	9034	464.9
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Male"	"M"	"Coconino County, AZ"	"04005"	28	9121	307.0
	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Male"	"M"	"Gila County, AZ"	"04007"	12	1598	Unreliable
