"Notes"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Escambia County, AL"	"01053"	11	172	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Anchorage Borough, AK"	"02020"	79	2070	3816.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Bethel Census Area, AK"	"02050"	14	832	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Fairbanks North Star Borough, AK"	"02090"	18	610	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Kenai Peninsula Borough, AK"	"02122"	23	433	5311.8
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Matanuska-Susitna Borough, AK"	"02170"	10	549	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Nome Census Area, AK"	"02180"	16	424	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"North Slope Borough, AK"	"02185"	11	335	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Northwest Arctic Borough, AK"	"02188"	11	307	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Wade Hampton Census Area, AK"	"02270"	10	364	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Apache County, AZ"	"04001"	130	4655	2792.7
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Coconino County, AZ"	"04005"	69	2749	2510.0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Gila County, AZ"	"04007"	43	675	6370.4
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Graham County, AZ"	"04009"	11	421	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"La Paz County, AZ"	"04012"	10	343	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Maricopa County, AZ"	"04013"	127	5880	2159.9
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Mohave County, AZ"	"04015"	20	675	2963.0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Navajo County, AZ"	"04017"	103	4309	2390.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Pima County, AZ"	"04019"	83	2849	2913.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Pinal County, AZ"	"04021"	48	1581	3036.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Yuma County, AZ"	"04027"	14	328	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Fresno County, CA"	"06019"	17	1786	Unreliable
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"70-74 years"	"70-74"	"Humboldt County, CA"	"06023"	23	686	3352.8
