"Notes"	"Single Race 6"	"Single Race 6 Code"	"Sex"	"Sex Code"	"HHS Region"	"HHS Region Code"	Deaths	Population	Crude Rate
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	105	2894	3628.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"HHS Region #2  NJ, NY"	"HHS2"	224	11017	2033.2
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	193	5453	3539.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	778	14454	5382.6
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	629	10019	6278.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	2494	29074	8578.1
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	195	2410	8091.3
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	766	5818	13166.0
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	2342	27639	8473.5
	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	1005	8070	12453.5
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	67	2021	3315.2
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"HHS Region #2  NJ, NY"	"HHS2"	113	6051	1867.5
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	123	3589	3427.1
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	475	9596	4950.0
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	372	6041	6157.9
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	1492	17124	8712.9
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	119	1895	6279.7
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	448	3147	14235.8
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	1419	15850	8952.7
	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	579	4728	12246.2
	"Asian"	"A"	"Female"	"F"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	1888	23579	8007.1
	"Asian"	"A"	"Female"	"F"	"HHS Region #2  NJ, NY"	"HHS2"	9268	118994	7788.6
	"Asian"	"A"	"Female"	"F"	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	4562	54484	8373.1
	"Asian"	"A"	"Female"	"F"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	4672	56474	8272.8
	"Asian"	"A"	"Female"	"F"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	5147	60886	8453.5
	"Asian"	"A"	"Female"	"F"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	4161	48136	8644.3
	"Asian"	"A"	"Female"	"F"	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	783	8612	9092.0
	"Asian"	"A"	"Female"	"F"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	1143	11251	10159.1
	"Asian"	"A"	"Female"	"F"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	47571	524869	9063.4
	"Asian"	"A"	"Female"	"F"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	4273	45401	9411.7
	"Asian"	"A"	"Male"	"M"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	1423	16337	8710.3
	"Asian"	"A"	"Male"	"M"	"HHS Region #2  NJ, NY"	"HHS2"	7065	78937	8950.2
	"Asian"	"A"	"Male"	"M"	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	3259	35681	9133.7
	"Asian"	"A"	"Male"	"M"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	2943	35821	8215.9
	"Asian"	"A"	"Male"	"M"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	3340	37072	9009.5
	"Asian"	"A"	"Male"	"M"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	2794	31469	8878.6
	"Asian"	"A"	"Male"	"M"	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	440	5185	8486.0
	"Asian"	"A"	"Male"	"M"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	610	5938	10272.8
	"Asian"	"A"	"Male"	"M"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	31647	301079	10511.2
	"Asian"	"A"	"Male"	"M"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	2406	22262	10807.7
	"Black or African American"	"2054-5"	"Female"	"F"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	4654	43793	10627.3
	"Black or African American"	"2054-5"	"Female"	"F"	"HHS Region #2  NJ, NY"	"HHS2"	27351	263935	10362.8
	"Black or African American"	"2054-5"	"Female"	"F"	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	35065	271283	12925.6
	"Black or African American"	"2054-5"	"Female"	"F"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	74941	571352	13116.4
	"Black or African American"	"2054-5"	"Female"	"F"	"HHS Region #5  IL, IN, MI, MN, OH, WI"	"HHS5"	35342	275089	12847.5
	"Black or African American"	"2054-5"	"Female"	"F"	"HHS Region #6  AR, LA, NM, OK, TX"	"HHS6"	26613	199747	13323.4
	"Black or African American"	"2054-5"	"Female"	"F"	"HHS Region #7  IA, KS, MO, NE"	"HHS7"	5706	42182	13527.1
	"Black or African American"	"2054-5"	"Female"	"F"	"HHS Region #8  CO, MT, ND, SD, UT, WY"	"HHS8"	937	8159	11484.3
	"Black or African American"	"2054-5"	"Female"	"F"	"HHS Region #9  AZ, CA, HI, NV"	"HHS9"	16191	135713	11930.3
	"Black or African American"	"2054-5"	"Female"	"F"	"HHS Region #10  AK, ID, OR, WA"	"HHS10"	1195	10096	11836.4
	"Black or African American"	"2054-5"	"Male"	"M"	"HHS Region #1  CT, ME, MA, NH, RI, VT"	"HHS1"	2489	20709	12018.9
	"Black or African American"	"2054-5"	"Male"	"M"	"HHS Region #2  NJ, NY"	"HHS2"	13011	108624	11978.0
	"Black or African American"	"2054-5"	"Male"	"M"	"HHS Region #3  DE, DC, MD, PA, VA, WV"	"HHS3"	17615	112921	15599.4
	"Black or African American"	"2054-5"	"Male"	"M"	"HHS Region #4  AL, FL, GA, KY, MS, NC, SC, TN"	"HHS4"	36240	240878	15045.0
